Symbol,Company Name,Cap Category,Sector,ISIN,Date of Listing,Index Source
TARIL,Transformers And Rectifiers (India) Limited,Small Cap,Capital Goods,INE763I01026,28-DEC-2007,Nifty Smallcap 250
TRAVELFOOD,Travel Food Services Limited,Small Cap,Consumer Services,INE103V01028,14-JUL-2025,Nifty Smallcap 250
TRIDENT,Trident Limited,Small Cap,Textiles,INE064C01022,21-FEB-2001,Nifty Smallcap 250
TRITURBINE,Triveni Turbine Limited,Small Cap,Capital Goods,INE152M01016,28-OCT-2011,Nifty Smallcap 250
UCOBANK,UCO Bank,Small Cap,Financial Services,INE691A01018,09-OCT-2003,Nifty Smallcap 250
UTIAMC,UTI Asset Management Company Limited,Small Cap,Financial Services,INE094J01016,12-OCT-2020,Nifty Smallcap 250
URBANCO,Urban Company Limited,Small Cap,Consumer Services,INE0CAZ01013,17-SEP-2025,Nifty Smallcap 250
USHAMART,Usha Martin Limited,Small Cap,Capital Goods,INE228A01035,11-OCT-2000,Nifty Smallcap 250
VTL,Vardhman Textiles Limited,Small Cap,Textiles,INE825A01020,14-JAN-2003,Nifty Smallcap 250
VIJAYA,Vijaya Diagnostic Centre Limited,Small Cap,Healthcare,INE043W01024,14-SEP-2021,Nifty Smallcap 250
WELCORP,Welspun Corp Limited,Small Cap,Capital Goods,INE191B01025,24-MAY-2005,Nifty Smallcap 250
WELSPUNLIV,Welspun Living Limited,Small Cap,Textiles,INE192B01031,04-DEC-2003,Nifty Smallcap 250
WHIRLPOOL,Whirlpool of India Limited,Small Cap,Consumer Durables,INE716A01013,06-APR-2010,Nifty Smallcap 250
WOCKPHARMA,Wockhardt Limited,Small Cap,Healthcare,INE049B01025,23-FEB-2000,Nifty Smallcap 250
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,Small Cap,Automobile and Auto Components,INE342J01019,01-OCT-2008,Nifty Smallcap 250
ZEEL,Zee Entertainment Enterprises Limited,Small Cap,Media Entertainment & Publication,INE256A01028,09-SEP-1998,Nifty Smallcap 250
ZENTEC,Zen Technologies Limited,Small Cap,Capital Goods,INE251B01027,30-MAR-2015,Nifty Smallcap 250
ZENSARTECH,Zensar Technologies Limited,Small Cap,Information Technology,INE520A01027,09-JUL-2003,Nifty Smallcap 250
ZYDUSWELL,Zydus Wellness Limited,Small Cap,Fast Moving Consumer Goods,INE768C01028,13-NOV-2009,Nifty Smallcap 250
ECLERX,eClerx Services Limited,Small Cap,Services,INE738I01010,31-DEC-2007,Nifty Smallcap 250
