Symbol,Company Name,Cap Category,Sector,ISIN,Date of Listing,Index Source
ASALCBR,Associated Alcohols & Breweries Ltd.,Micro Cap,FMCG & Consumer Goods,INE073G01016,12-FEB-2020,EQUITY_L (beyond Nifty 500)
ASHAPURMIN,Ashapura Minechem Limited,Micro Cap,Metals & Mining,INE348A01023,20-SEP-1995,Nifty Microcap 250
ASHIANA,Ashiana Housing Limited,Micro Cap,Real Estate,INE365D01021,29-JUN-2011,EQUITY_L (beyond Nifty 500)
ASHIKA,Ashika Credit Capital Limited,Micro Cap,Financial Services,INE094B01013,20-APR-2026,EQUITY_L (beyond Nifty 500)
ASHIMASYN,Ashima Limited,Micro Cap,Others / Diversified,INE440A01010,27-JUL-1995,EQUITY_L (beyond Nifty 500)
ASHOKA,Ashoka Buildcon Limited,Micro Cap,Construction,INE442H01029,14-OCT-2010,Nifty Microcap 250
ASHOKAMET,Ashoka Metcast Limited,Micro Cap,Others / Diversified,INE760Y01011,27-JUN-2023,EQUITY_L (beyond Nifty 500)
ASIANENE,Asian Energy Services Limited,Micro Cap,Others / Diversified,INE276G01015,09-DEC-2021,EQUITY_L (beyond Nifty 500)
ASIANHOTNR,Asian Hotels (North) Limited,Micro Cap,Retail & Consumer Services,INE363A01022,07-APR-2010,EQUITY_L (beyond Nifty 500)
ASIANTILES,Asian Granito India Limited,Micro Cap,Others / Diversified,INE022I01019,23-AUG-2007,EQUITY_L (beyond Nifty 500)
ASKAUTOLTD,ASK Automotive Limited,Micro Cap,Automobile and Auto Components,INE491J01022,15-NOV-2023,Nifty Microcap 250
ASMS,Bartronics India Limited,Micro Cap,Others / Diversified,INE855F01042,09-FEB-2023,EQUITY_L (beyond Nifty 500)
ASPINWALL,Aspinwall and Company Limited,Micro Cap,Others / Diversified,INE991I01015,14-JUN-2016,EQUITY_L (beyond Nifty 500)
ASTAR,Asian Star Company Limited,Micro Cap,Others / Diversified,INE194D01017,20-APR-2026,EQUITY_L (beyond Nifty 500)
ASTEC,Astec LifeSciences Limited,Micro Cap,Healthcare & Pharma,INE563J01010,25-NOV-2009,EQUITY_L (beyond Nifty 500)
ASTRAMICRO,Astra Microwave Products Limited,Micro Cap,Capital Goods,INE386C01029,01-NOV-2004,Nifty Microcap 250
ASTRAZEN,AstraZeneca Pharma India Limited,Micro Cap,Healthcare & Pharma,INE203A01020,04-MAY-2001,EQUITY_L (beyond Nifty 500)
ASTRON,Astron Paper & Board Mill Limited,Micro Cap,Paper & Packaging,INE646X01014,29-DEC-2017,EQUITY_L (beyond Nifty 500)
ATALREAL,Atal Realtech Limited,Micro Cap,Information Technology,INE0ALR01029,12-MAY-2023,EQUITY_L (beyond Nifty 500)
ATAM,Atam Valves Limited,Micro Cap,Capital Goods & Engineering,INE09KD01013,10-MAY-2023,EQUITY_L (beyond Nifty 500)
ATL,Allcargo Terminals Limited,Micro Cap,Automobile & Auto Components,INE0NN701020,10-AUG-2023,EQUITY_L (beyond Nifty 500)
ATLANTAA,ATLANTAA LIMITED,Micro Cap,Others / Diversified,INE285H01022,25-SEP-2006,EQUITY_L (beyond Nifty 500)
ATLANTAELE,Atlanta Electricals Limited,Micro Cap,Capital Goods,INE0Z4F01028,29-SEP-2025,Nifty Microcap 250
ATLASCYCLE,Atlas Cycles (Haryana) Limited,Micro Cap,Others / Diversified,INE446A01025,23-OCT-1996,EQUITY_L (beyond Nifty 500)
ATULAUTO,Atul Auto Limited,Micro Cap,Automobile & Auto Components,INE951D01028,26-JUN-2013,EQUITY_L (beyond Nifty 500)
AURIGROW,Auri Grow India Limited,Micro Cap,Others / Diversified,INE925Y01036,24-DEC-2020,EQUITY_L (beyond Nifty 500)
AURIONPRO,Aurionpro Solutions Limited,Micro Cap,Information Technology,INE132H01018,25-OCT-2005,Nifty Microcap 250
AURUM,Aurum PropTech Limited,Micro Cap,Information Technology,INE898S01029,19-AUG-2015,EQUITY_L (beyond Nifty 500)
AUSOMENT,Ausom Enterprise Limited,Micro Cap,Information Technology,INE218C01016,17-APR-1996,EQUITY_L (beyond Nifty 500)
AUTOAXLES,Automotive Axles Limited,Micro Cap,Automobile & Auto Components,INE449A01011,29-MAY-2003,EQUITY_L (beyond Nifty 500)
AUTOIND,Autoline Industries Limited,Micro Cap,Automobile & Auto Components,INE718H01014,31-JAN-2007,EQUITY_L (beyond Nifty 500)
AVADHSUGAR,Avadh Sugar & Energy Limited,Micro Cap,FMCG & Consumer Goods,INE349W01017,28-JUL-2017,EQUITY_L (beyond Nifty 500)
AVALON,Avalon Technologies Limited,Micro Cap,Capital Goods,INE0LCL01028,18-APR-2023,Nifty Microcap 250
AVANTEL,Avantel Limited,Micro Cap,Others / Diversified,INE005B01027,31-JUL-2024,EQUITY_L (beyond Nifty 500)
AVANTIFEED,Avanti Feeds Limited,Micro Cap,Fast Moving Consumer Goods,INE871C01038,15-APR-2015,Nifty Microcap 250
AVG,AVG Logistics Limited,Micro Cap,Logistics & Transportation,INE680Z01018,12-MAY-2023,EQUITY_L (beyond Nifty 500)
AVL,Aditya Vision Limited,Micro Cap,Consumer Services,INE679V01027,06-NOV-2024,Nifty Microcap 250
AVONMORE,Avonmore Capital & Management Services Limited,Micro Cap,Financial Services,INE323B01024,04-JAN-2023,EQUITY_L (beyond Nifty 500)
AVROIND,AVRO INDIA LIMITED,Micro Cap,Others / Diversified,INE652Z01025,07-APR-2022,EQUITY_L (beyond Nifty 500)
AVTNPL,AVT Natural Products Limited,Micro Cap,Others / Diversified,INE488D01021,10-JAN-2007,EQUITY_L (beyond Nifty 500)
AWFIS,Awfis Space Solutions Limited,Micro Cap,Services,INE108V01019,30-MAY-2024,Nifty Microcap 250
AWHCL,Antony Waste Handling Cell Limited,Micro Cap,Others / Diversified,INE01BK01022,01-JAN-2021,EQUITY_L (beyond Nifty 500)
AXISCADES,AXISCADES Technologies Limited,Micro Cap,Capital Goods,INE555B01013,21-DEC-2000,Nifty Microcap 250
AXITA,Axita Cotton Limited,Micro Cap,Textiles & Apparel,INE02EZ01022,21-JUN-2022,EQUITY_L (beyond Nifty 500)
AYE,Aye Finance Limited,Micro Cap,Financial Services,INE501X01029,16-FEB-2026,EQUITY_L (beyond Nifty 500)
AYMSYNTEX,AYM Syntex Limited,Micro Cap,Others / Diversified,INE193B01039,14-AUG-2015,EQUITY_L (beyond Nifty 500)
AZAD,Azad Engineering Limited,Micro Cap,Capital Goods,INE02IJ01035,28-DEC-2023,Nifty Microcap 250
BAFNAPH,Bafna Pharmaceuticals Limited,Micro Cap,Healthcare & Pharma,INE878I01022,27-FEB-2020,EQUITY_L (beyond Nifty 500)
BAGFILMS,B.A.G Films and Media Limited,Micro Cap,Media & Entertainment,INE116D01028,17-OCT-2003,EQUITY_L (beyond Nifty 500)
BAIDFIN,Baid Finserv Limited,Micro Cap,Others / Diversified,INE020D01022,20-JAN-2023,EQUITY_L (beyond Nifty 500)
BAJAJCON,Bajaj Consumer Care Limited,Micro Cap,Automobile & Auto Components,INE933K01021,18-AUG-2010,EQUITY_L (beyond Nifty 500)
BAJAJELEC,Bajaj Electricals Limited,Micro Cap,Consumer Durables,INE193E01025,02-NOV-2007,Nifty Microcap 250
BAJAJHCARE,Bajaj Healthcare Limited,Micro Cap,Healthcare & Pharma,INE411U01027,25-NOV-2021,EQUITY_L (beyond Nifty 500)
BAJAJHIND,Bajaj Hindusthan Sugar Limited,Micro Cap,FMCG & Consumer Goods,INE306A01021,10-MAY-1995,EQUITY_L (beyond Nifty 500)
BAJAJINDEF,Indef Manufacturing Limited,Micro Cap,Others / Diversified,INE0O9T01021,21-FEB-2025,EQUITY_L (beyond Nifty 500)
BAJAJST,Bajaj Steel Industries Limited,Micro Cap,Metals & Mining,INE704G01024,20-APR-2026,EQUITY_L (beyond Nifty 500)
BAJEL,Bajel Projects Limited,Micro Cap,Construction & Infrastructure,INE0KQN01018,19-DEC-2023,EQUITY_L (beyond Nifty 500)
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,Micro Cap,Agriculture,INE0S2G01011,12-SEP-2024,EQUITY_L (beyond Nifty 500)
BALAJITELE,Balaji Telefilms Limited,Micro Cap,Media & Entertainment,INE794B01026,22-NOV-2000,EQUITY_L (beyond Nifty 500)
BALAMINES,Balaji Amines Limited,Micro Cap,Chemicals,INE050E01027,05-APR-2007,Nifty Microcap 250
BALAXI,BALAXI PHARMACEUTICALS LIMITED,Micro Cap,Healthcare & Pharma,INE618N01022,30-NOV-2015,EQUITY_L (beyond Nifty 500)
BALKRISHNA,Balkrishna Paper Mills Limited,Micro Cap,Paper & Packaging,INE875R01011,28-JUL-2015,EQUITY_L (beyond Nifty 500)
BALMLAWRIE,Balmer Lawrie & Company Limited,Micro Cap,Others / Diversified,INE164A01016,06-JUL-1995,EQUITY_L (beyond Nifty 500)
BALPHARMA,Bal Pharma Limited,Micro Cap,Healthcare & Pharma,INE083D01012,08-MAY-2006,EQUITY_L (beyond Nifty 500)
BALUFORGE,Balu Forge Industries Limited,Micro Cap,Capital Goods,INE011E01029,29-APR-2024,Nifty Microcap 250
BANARBEADS,Banaras Beads Limited,Micro Cap,Others / Diversified,INE655B01011,07-JUL-1995,EQUITY_L (beyond Nifty 500)
BANARISUG,Bannari Amman Sugars Limited,Micro Cap,FMCG & Consumer Goods,INE459A01010,28-MAY-2003,EQUITY_L (beyond Nifty 500)
BANCOINDIA,Banco Products (I) Limited,Micro Cap,Automobile and Auto Components,INE213C01025,22-DEC-2006,Nifty Microcap 250
BANG,Bang Overseas Limited,Micro Cap,Others / Diversified,INE863I01016,20-FEB-2008,EQUITY_L (beyond Nifty 500)
BANKA,Banka BioLoo Limited,Micro Cap,Financial Services - Banks,INE862Y01015,29-OCT-2020,EQUITY_L (beyond Nifty 500)
BANSALWIRE,Bansal Wire Industries Limited,Micro Cap,Capital Goods & Engineering,INE0B9K01025,10-JUL-2024,EQUITY_L (beyond Nifty 500)
BANSWRAS,Banswara Syntex Limited,Micro Cap,Others / Diversified,INE629D01020,11-APR-2007,EQUITY_L (beyond Nifty 500)
BASF,BASF India Limited,Micro Cap,Others / Diversified,INE373A01013,17-MAY-1995,EQUITY_L (beyond Nifty 500)
BASML,Bannari Amman Spinning Mills Limited,Micro Cap,Textiles & Apparel,INE186H01022,14-NOV-2005,EQUITY_L (beyond Nifty 500)
BATLIBOI,Batliboi Limited,Micro Cap,Others / Diversified,INE177C01022,20-APR-2026,EQUITY_L (beyond Nifty 500)
BBL,Bharat Bijlee Limited,Micro Cap,Others / Diversified,INE464A01036,21-NOV-2006,EQUITY_L (beyond Nifty 500)
BBOX,Black Box Limited,Micro Cap,Information Technology,INE676A01027,22-JUL-2003,Nifty Microcap 250
BBTCL,B&B Triplewall Containers Limited,Micro Cap,Logistics & Transportation,INE01EE01011,23-NOV-2022,EQUITY_L (beyond Nifty 500)
